--------- beginning of events
07-16 19:30:16.470  1130  1130 I auditd  : Multiple same specifications for miui.mqsas.MQSService.
07-16 19:30:16.470  1130  1130 I auditd  : Multiple same specifications for miui.mqsas.IMQSNative.
07-16 19:30:16.471  1130  1130 I auditd  : SELinux: Loaded service context from:
07-16 19:30:16.471  1130  1130 I auditd  : 		/system/etc/selinux/plat_service_contexts
07-16 19:30:16.471  1130  1130 I auditd  : 		/system_ext/etc/selinux/system_ext_service_contexts
07-16 19:30:16.471  1130  1130 I auditd  : 		/product/etc/selinux/product_service_contexts
07-16 19:30:16.471  1130  1130 I auditd  : 		/vendor/etc/selinux/vendor_service_contexts
07-16 19:30:16.471  1130  1130 I auditd  : 		/odm/etc/selinux/odm_service_contexts
01-01 08:00:00.064  1126  1126 I auditd  : type=2000 audit(0.0:1): state=initialized audit_enabled=0 res=1
07-16 19:30:14.332  1126  1126 I auditd  : type=1403 audit(0.0:2): auid=4294967295 ses=4294967295 lsm=selinux res=1
07-16 19:30:14.332  1126  1126 I auditd  : type=1404 audit(0.0:3): enforcing=1 old_enforcing=0 auid=4294967295 ses=4294967295 enabled=1 old-enabled=1 lsm=selinux res=1
07-16 19:30:14.368     1     1 I auditd  : type=1107 audit(0.0:4): uid=0 auid=4294967295 ses=4294967295 subj=u:r:init:s0 msg='avc:  denied  { set } for property=persist.audio.thread.ozonotify pid=1 uid=0 gid=0 scontext=u:r:vendor_init:s0 tcontext=u:object_r:audio_prop:s0 tclass=property_service permissive=0'
07-16 19:30:14.368     1     1 I auditd  : type=1107 audit(0.0:5): uid=0 auid=4294967295 ses=4294967295 subj=u:r:init:s0 msg='avc:  denied  { set } for property=ro.product.vendor_dlkm.marketname pid=1 uid=0 gid=0 scontext=u:r:vendor_init:s0 tcontext=u:object_r:default_prop:s0 tclass=property_service permissive=0'
07-16 19:30:14.368     1     1 I auditd  : type=1107 audit(0.0:6): uid=0 auid=4294967295 ses=4294967295 subj=u:r:init:s0 msg='avc:  denied  { set } for property=ro.product.vendor_dlkm.cert pid=1 uid=0 gid=0 scontext=u:r:vendor_init:s0 tcontext=u:object_r:default_prop:s0 tclass=property_service permissive=0'
07-16 19:30:14.368     1     1 I auditd  : type=1107 audit(0.0:7): uid=0 auid=4294967295 ses=4294967295 subj=u:r:init:s0 msg='avc:  denied  { set } for property=ro.product.odm_dlkm.marketname pid=1 uid=0 gid=0 scontext=u:r:vendor_init:s0 tcontext=u:object_r:default_prop:s0 tclass=property_service permissive=0'
07-16 19:30:14.368     1     1 I auditd  : type=1107 audit(0.0:8): uid=0 auid=4294967295 ses=4294967295 subj=u:r:init:s0 msg='avc:  denied  { set } for property=ro.product.odm_dlkm.cert pid=1 uid=0 gid=0 scontext=u:r:vendor_init:s0 tcontext=u:object_r:default_prop:s0 tclass=property_service permissive=0'
07-16 19:30:14.368     1     1 I auditd  : type=1107 audit(0.0:9): uid=0 auid=4294967295 ses=4294967295 subj=u:r:init:s0 msg='avc:  denied  { set } for property=ro.memory.isSupportSnapshot pid=1 uid=0 gid=0 scontext=u:r:vendor_init:s0 tcontext=u:object_r:default_prop:s0 tclass=property_service permissive=0'
07-16 19:30:14.392   333   333 I auditd  : type=1400 audit(0.0:10): avc:  denied  { read } for  comm="init" name="u:object_r:default_prop:s0" dev="tmpfs" ino=188 scontext=u:r:vendor_init:s0 tcontext=u:object_r:default_prop:s0 tclass=file permissive=0
07-16 19:30:16.468  1126  1126 I auditd  : type=1400 audit(0.0:23): avc:  denied  { read } for  comm="logd" name="u:object_r:vendor_default_prop:s0" dev="tmpfs" ino=501 scontext=u:r:logd:s0 tcontext=u:object_r:vendor_default_prop:s0 tclass=file permissive=0
07-16 19:30:16.476  1128  1128 I auditd  : type=1400 audit(0.0:24): avc:  denied  { read } for  comm="lmkd" name="u:object_r:vendor_camera_prop:s0" dev="tmpfs" ino=493 scontext=u:r:lmkd:s0 tcontext=u:object_r:vendor_camera_prop:s0 tclass=file permissive=0
07-16 19:30:16.476  1128  1128 I auditd  : type=1400 audit(0.0:25): avc:  denied  { read } for  comm="lmkd" name="u:object_r:vendor_default_prop:s0" dev="tmpfs" ino=501 scontext=u:r:lmkd:s0 tcontext=u:object_r:vendor_default_prop:s0 tclass=file permissive=0
07-16 19:30:16.476  1128  1128 I auditd  : type=1400 audit(0.0:26): avc:  denied  { read } for  comm="lmkd" name="u:object_r:vendor_camera_prop:s0" dev="tmpfs" ino=493 scontext=u:r:lmkd:s0 tcontext=u:object_r:vendor_camera_prop:s0 tclass=file permissive=0
07-16 19:30:16.492     1     1 I auditd  : type=1400 audit(0.0:27): avc:  denied  { ioctl } for  comm="init" path="/mnt/vendor/mi_ext" dev="dm-22" ino=38 ioctlcmd=0x125d scontext=u:r:init:s0 tcontext=u:object_r:system_file:s0 tclass=dir permissive=0
07-16 19:30:16.492     1     1 I auditd  : type=1400 audit(0.0:28): avc:  denied  { ioctl } for  comm="init" path="/mnt/vendor/mi_ext" dev="dm-22" ino=38 ioctlcmd=0x125d scontext=u:r:init:s0 tcontext=u:object_r:system_file:s0 tclass=dir permissive=0
07-16 19:30:16.512  1143  1143 I auditd  : type=1400 audit(0.0:29): avc:  denied  { read } for  comm="vold" name="u:object_r:vendor_default_prop:s0" dev="tmpfs" ino=501 scontext=u:r:vold:s0 tcontext=u:object_r:vendor_default_prop:s0 tclass=file permissive=0
07-16 19:30:16.524  1143  1143 I auditd  : type=1400 audit(0.0:30): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=58527 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.524  1143  1143 I auditd  : type=1400 audit(0.0:31): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=59262 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.524  1143  1143 I auditd  : type=1400 audit(0.0:32): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=59212 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.524  1143  1143 I auditd  : type=1400 audit(0.0:33): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=59287 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.524  1143  1143 I auditd  : type=1400 audit(0.0:34): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=59237 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.524  1143  1143 I auditd  : type=1400 audit(0.0:35): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=59187 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.528  1143  1143 I auditd  : type=1400 audit(0.0:36): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=58819 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.528  1143  1143 I auditd  : type=1400 audit(0.0:37): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=60937 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.528  1143  1143 I auditd  : type=1400 audit(0.0:38): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=59987 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:39): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=60687 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:40): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=61387 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:41): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=60437 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:42): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=61137 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:43): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=59662 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
